"Publication Date","Fiscal Year","Agency Number","Agency Name","Unit Appropriation Number","Unit Appropriation Name","Financial Plan Savings Flag","sum_adopted_budget_amount","sum_current_modified_budget_amount","sum_financial_plan_amount","sum_adopted_budget_position","sum_current_modified_budget_position","sum_financial_plan_position","sum_adopted_budget_number_of_contracts","sum_current_modified_budget_number_of_contracts","sum_financial_plan_number_of_contracts"
"20260512","2027","002","MAYORALTY","101","OFFICE OF MASS ENGAGEMENT-OTPS","N","0","0","30,000","0","0","0","0","0","1"
"20260512","2027","002","MAYORALTY","260","OFF FOR PEOPLE WITH DISAB-PS","N","655,682","655,682","655,682","6","6","6","0","0","0"
"20260217","2027","002","MAYORALTY","260","OFF FOR PEOPLE WITH DISAB-PS","N","655,682","655,682","655,682","6","6","6","0","0","0"
"20260512","2027","002","MAYORALTY","261","OFF FOR PEOPLE WITH DISAB-OTPS","N","22,975","47,975","22,975","0","0","0","1","2","1"
"20260217","2027","002","MAYORALTY","261","OFF FOR PEOPLE WITH DISAB-OTPS","N","22,975","47,975","22,975","0","0","0","1","2","1"
"20260512","2027","002","MAYORALTY","340","COMMUNITY AFFAIRS UNIT-PS","N","2,323,756","2,323,756","0","20","20","0","0","0","0"
"20260217","2027","002","MAYORALTY","340","COMMUNITY AFFAIRS UNIT-PS","N","2,323,756","2,323,756","2,323,756","20","20","20","0","0","0"
"20260512","2027","002","MAYORALTY","341","COMMUNITY AFFAIRS UNIT-OTPS","N","30,000","30,000","0","0","0","0","1","2","0"
"20260217","2027","002","MAYORALTY","341","COMMUNITY AFFAIRS UNIT-OTPS","N","30,000","30,000","30,000","0","0","0","1","2","1"
"20260512","2027","002","MAYORALTY","350","COMMISSION ON GENDER EQUITY-PS","N","683,569","683,569","683,569","7","7","7","0","0","0"
"20260217","2027","002","MAYORALTY","350","COMMISSION ON GENDER EQUITY-PS","N","683,569","683,569","683,569","7","7","7","0","0","0"
"20260512","2027","002","MAYORALTY","351","COMMISSION ON GENDER EQUITY-OTPS","N","152,171","152,171","152,171","0","0","0","0","0","0"
"20260217","2027","002","MAYORALTY","351","COMMISSION ON GENDER EQUITY-OTPS","N","152,171","152,171","152,171","0","0","0","0","0","0"
"20260512","2027","002","MAYORALTY","380","OFFICE OF OPERATIONS-PS","N","6,492,005","6,505,830","6,505,830","55","55","55","0","0","0"
"20260217","2027","002","MAYORALTY","380","OFFICE OF OPERATIONS-PS","N","6,492,005","6,505,830","5,906,154","55","55","52","0","0","0"
"20260512","2027","002","MAYORALTY","381","OFFICE OF OPERATIONS-OTPS","N","137,435","127,435","137,435","0","0","0","5","8","5"
"20260217","2027","002","MAYORALTY","381","OFFICE OF OPERATIONS-OTPS","N","137,435","137,435","137,435","0","0","0","5","7","5"
"20260512","2027","002","MAYORALTY","561","SPECIAL ENFORCEMENT-OTPS","N","8","8","8","0","0","0","0","0","0"
"20260217","2027","002","MAYORALTY","561","SPECIAL ENFORCEMENT-OTPS","N","8","8","8","0","0","0","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","N","69,853,711","69,853,711","69,853,711","517","517","517","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","Y","0","0","57,100,000","0","0","0","0","0","0"
"20260217","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","N","69,853,711","69,853,711","69,853,711","517","517","517","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","002","OTHER THAN PERSONAL SERVICES","Y","-1,174","1,557,541","-1,174","0","0","0","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","002","OTHER THAN PERSONAL SERVICES","N","77,022,611","145,236,319","80,020,142","0","0","0","37","33","37"
"20260217","2027","003","BOARD OF ELECTIONS","002","OTHER THAN PERSONAL SERVICES","Y","-1,174","-20,700,098","-1,174","0","0","0","0","0","0"
"20260217","2027","003","BOARD OF ELECTIONS","002","OTHER THAN PERSONAL SERVICES","N","77,022,611","132,721,535","77,022,611","0","0","0","37","33","37"
"20260512","2027","004","CAMPAIGN FINANCE BOARD","001","PERSONAL SERVICES","N","27,396,410","27,396,410","28,588,019","258","258","258","0","0","0"
"20260217","2027","004","CAMPAIGN FINANCE BOARD","001","PERSONAL SERVICES","Y","0","0","-963,155","0","0","-6","0","0","0"
"20260217","2027","004","CAMPAIGN FINANCE BOARD","001","PERSONAL SERVICES","N","27,396,410","27,396,410","9,622,424","258","258","93","0","0","0"
"20260512","2027","004","CAMPAIGN FINANCE BOARD","002","OTHER THAN PERSONAL SERVICES","N","59,884,827","59,879,827","58,221,064","0","0","0","9","11","10"
"20260217","2027","004","CAMPAIGN FINANCE BOARD","002","OTHER THAN PERSONAL SERVICES","Y","0","0","-1,853,000","0","0","0","0","0","0"
"20260217","2027","004","CAMPAIGN FINANCE BOARD","002","OTHER THAN PERSONAL SERVICES","N","59,884,827","59,884,827","5,670,780","0","0","0","9","10","27"
"20260512","2027","004","CAMPAIGN FINANCE BOARD","003","ELECTION FUNDING","N","22,200,000","36,605,000","17,284,008","0","0","0","0","0","0"
"20260217","2027","004","CAMPAIGN FINANCE BOARD","003","ELECTION FUNDING","N","22,200,000","36,605,000","1,000,000","0","0","0","0","0","0"
"20260512","2027","008","OFFICE OF THE ACTUARY","100","PERSONAL SERVICE","Y","-45,428","0","854,365","-1","0","0","0","0","0"
"20260512","2027","008","OFFICE OF THE ACTUARY","100","PERSONAL SERVICE","N","5,622,716","5,577,288","5,580,233","43","42","42","0","0","0"
"20260217","2027","008","OFFICE OF THE ACTUARY","100","PERSONAL SERVICE","Y","-45,428","0","0","-1","0","0","0","0","0"
"20260217","2027","008","OFFICE OF THE ACTUARY","100","PERSONAL SERVICE","N","5,622,716","5,577,288","5,580,233","43","42","42","0","0","0"
