"Publication Date","Fiscal Year","Agency Number","Agency Name","Unit Appropriation Number","Unit Appropriation Name","Financial Plan Savings Flag","sum_adopted_budget_amount","sum_current_modified_budget_amount","sum_financial_plan_amount","sum_adopted_budget_position","sum_current_modified_budget_position","sum_financial_plan_position","sum_adopted_budget_number_of_contracts","sum_current_modified_budget_number_of_contracts","sum_financial_plan_number_of_contracts"
"20260217","2027","056","POLICE DEPARTMENT","110","DETECTIVE BUREAU - OTPS","N","8,238,258","7,435,029","7,987,226","0","0","0","15","13","15"
"20260512","2027","056","POLICE DEPARTMENT","120","CHIEF OF DEPARTMENT - OTPS","N","6,118,413","5,566,619","4,327,183","0","0","0","3","4","3"
"20260217","2027","056","POLICE DEPARTMENT","120","CHIEF OF DEPARTMENT - OTPS","N","6,118,413","5,566,619","6,098,183","0","0","0","3","4","3"
"20260512","2027","056","POLICE DEPARTMENT","200","EXECUTIVE MANAGEMENT-OTPS","Y","0","-660,000","0","0","0","0","0","0","0"
"20260512","2027","056","POLICE DEPARTMENT","200","EXECUTIVE MANAGEMENT-OTPS","N","21,033,116","81,448,799","21,532,616","0","0","0","26","24","26"
"20260217","2027","056","POLICE DEPARTMENT","200","EXECUTIVE MANAGEMENT-OTPS","N","21,033,116","73,480,273","17,838,774","0","0","0","26","24","26"
"20260512","2027","056","POLICE DEPARTMENT","300","SCHOOL SAFETY- OTPS","N","4,903,848","4,903,848","4,903,848","0","0","0","10","13","10"
"20260217","2027","056","POLICE DEPARTMENT","300","SCHOOL SAFETY- OTPS","N","4,903,848","4,903,848","4,903,848","0","0","0","10","13","10"
"20260512","2027","056","POLICE DEPARTMENT","400","ADMINISTRATION-OTPS","N","390,011,654","640,334,130","268,808,159","0","0","0","174","175","158"
"20260512","2027","056","POLICE DEPARTMENT","400","ADMINISTRATION-OTPS","Y","-18,463,334","-18,462,974","-3,769,905","0","0","0","0","0","0"
"20260217","2027","056","POLICE DEPARTMENT","400","ADMINISTRATION-OTPS","N","390,011,654","526,232,819","290,602,668","0","0","0","174","175","158"
"20260217","2027","056","POLICE DEPARTMENT","400","ADMINISTRATION-OTPS","Y","-18,463,334","-106,956,952","-3,769,905","0","0","0","0","0","0"
"20260512","2027","056","POLICE DEPARTMENT","410","INFORMATION TECHNOLOGY BUREAU - OTPS","N","0","0","215,688,553","0","0","0","0","0","18"
"20260217","2027","056","POLICE DEPARTMENT","410","INFORMATION TECHNOLOGY BUREAU - OTPS","N","0","0","209,935,604","0","0","0","0","0","18"
"20260512","2027","056","POLICE DEPARTMENT","500","COMMUNICATIONS - OTPS","N","42,078,546","30,740,622","30,717,634","0","0","0","20","10","20"
"20260217","2027","056","POLICE DEPARTMENT","500","COMMUNICATIONS - OTPS","N","42,078,546","27,745,839","30,717,634","0","0","0","20","12","20"
"20260512","2027","056","POLICE DEPARTMENT","600","CRIMINAL JUSTICE-OTPS","N","562,059","539,899","529,699","0","0","0","6","6","6"
"20260217","2027","056","POLICE DEPARTMENT","600","CRIMINAL JUSTICE-OTPS","N","562,059","559,899","529,699","0","0","0","6","5","6"
"20260512","2027","056","POLICE DEPARTMENT","700","TRAFFIC ENFORCEMENT-OTPS","N","10,541,694","10,096,107","10,413,128","0","0","0","16","16","16"
"20260217","2027","056","POLICE DEPARTMENT","700","TRAFFIC ENFORCEMENT-OTPS","N","10,541,694","10,363,283","10,464,722","0","0","0","16","16","16"
"20260512","2027","056","POLICE DEPARTMENT","800","PATROL, HOUSING & TRANSIT - OTPS","N","2,905,339","2,733,952","2,048,357","0","0","0","176","173","174"
"20260217","2027","056","POLICE DEPARTMENT","800","PATROL, HOUSING & TRANSIT - OTPS","N","2,905,339","2,733,952","2,375,034","0","0","0","176","173","174"
"20260512","2027","056","POLICE DEPARTMENT","900","INTELLIGENCE AND COUNTERTERRORISM - OTPS","N","4,906,553","4,611,226","4,478,753","0","0","0","7","7","7"
"20260217","2027","056","POLICE DEPARTMENT","900","INTELLIGENCE AND COUNTERTERRORISM - OTPS","N","4,906,553","4,611,226","4,745,553","0","0","0","7","8","7"
"20260512","2027","057","FIRE DEPARTMENT","001","EXECUTIVE ADMINISTRATIVE","N","137,451,347","136,068,706","132,992,407","1,019","986","986","0","0","0"
"20260512","2027","057","FIRE DEPARTMENT","001","EXECUTIVE ADMINISTRATIVE","Y","-8,970,191","6,459,850","16,306,848","-84","-55","32","0","0","0"
"20260217","2027","057","FIRE DEPARTMENT","001","EXECUTIVE ADMINISTRATIVE","N","137,451,347","136,016,239","132,935,672","1,019","988","986","0","0","0"
"20260217","2027","057","FIRE DEPARTMENT","001","EXECUTIVE ADMINISTRATIVE","Y","-8,970,191","-7,604,733","7,018,531","-84","-55","-55","0","0","0"
"20260512","2027","057","FIRE DEPARTMENT","002","FIRE EXTING AND EMERG RESP","N","1,777,795,837","1,781,019,229","1,770,045,239","11,003","11,349","11,348","0","0","0"
"20260512","2027","057","FIRE DEPARTMENT","002","FIRE EXTING AND EMERG RESP","Y","4,698,956","77,244,802","-1,280,543","342","0","0","0","0","0"
"20260217","2027","057","FIRE DEPARTMENT","002","FIRE EXTING AND EMERG RESP","Y","4,698,956","4,635,234","33,919,457","342","342","342","0","0","0"
"20260217","2027","057","FIRE DEPARTMENT","002","FIRE EXTING AND EMERG RESP","N","1,777,795,837","1,775,399,336","1,770,045,239","11,003","11,007","11,006","0","0","0"
"20260512","2027","057","FIRE DEPARTMENT","003","FIRE INVESTIGATION","N","28,531,503","28,914,909","28,496,518","141","140","140","0","0","0"
"20260512","2027","057","FIRE DEPARTMENT","003","FIRE INVESTIGATION","Y","-2,174,364","-2,166,905","-2,009,270","0","0","0","0","0","0"
"20260217","2027","057","FIRE DEPARTMENT","003","FIRE INVESTIGATION","N","28,531,503","28,675,427","28,496,518","141","140","140","0","0","0"
"20260217","2027","057","FIRE DEPARTMENT","003","FIRE INVESTIGATION","Y","-2,174,364","-2,166,905","-2,009,270","0","0","0","0","0","0"
"20260512","2027","057","FIRE DEPARTMENT","004","FIRE PREVENTION","Y","-569,901","9,352,393","7,338,071","30","30","44","0","0","0"
"20260512","2027","057","FIRE DEPARTMENT","004","FIRE PREVENTION","N","48,302,686","49,065,116","48,549,970","595","602","594","0","0","0"
"20260217","2027","057","FIRE DEPARTMENT","004","FIRE PREVENTION","Y","-569,901","-569,901","6,072,178","30","30","30","0","0","0"
"20260217","2027","057","FIRE DEPARTMENT","004","FIRE PREVENTION","N","48,302,686","49,065,116","48,544,370","595","602","594","0","0","0"
"20260512","2027","057","FIRE DEPARTMENT","005","EXECUTIVE ADMIN-OTPS","Y","-5,960,154","5,513,856","-5,861,389","0","0","0","1","1","0"
"20260512","2027","057","FIRE DEPARTMENT","005","EXECUTIVE ADMIN-OTPS","N","180,305,969","253,847,409","171,206,432","0","0","0","152","153","152"
"20260217","2027","057","FIRE DEPARTMENT","005","EXECUTIVE ADMIN-OTPS","Y","-5,960,154","-5,960,154","-5,861,389","0","0","0","1","1","0"
"20260217","2027","057","FIRE DEPARTMENT","005","EXECUTIVE ADMIN-OTPS","N","180,305,969","202,359,452","167,740,331","0","0","0","152","153","152"
"20260512","2027","057","FIRE DEPARTMENT","006","FIRE EXTING & RESP-OTPS","N","39,710,826","41,696,367","44,213,673","0","0","0","39","41","39"
"20260217","2027","057","FIRE DEPARTMENT","006","FIRE EXTING & RESP-OTPS","N","39,710,826","41,696,367","39,710,826","0","0","0","39","40","39"
"20260512","2027","057","FIRE DEPARTMENT","007","FIRE INVESTIGATION-OTPS","N","277,847","327,847","277,847","0","0","0","1","2","1"
"20260217","2027","057","FIRE DEPARTMENT","007","FIRE INVESTIGATION-OTPS","N","277,847","327,847","277,847","0","0","0","1","2","1"
"20260512","2027","057","FIRE DEPARTMENT","008","FIRE PREVENTION-OTPS","N","2,083,141","2,108,904","2,083,141","0","0","0","6","7","6"
"20260512","2027","057","FIRE DEPARTMENT","008","FIRE PREVENTION-OTPS","Y","0","0","0","0","0","0","1","1","1"
"20260217","2027","057","FIRE DEPARTMENT","008","FIRE PREVENTION-OTPS","Y","0","0","0","0","0","0","1","1","1"
"20260217","2027","057","FIRE DEPARTMENT","008","FIRE PREVENTION-OTPS","N","2,083,141","2,108,904","2,083,141","0","0","0","6","9","6"
"20260512","2027","057","FIRE DEPARTMENT","009","EMERGENCY MEDICAL SERVICES-PS","Y","-14,786,910","8,616,645","-14,786,910","0","0","0","0","0","0"
"20260512","2027","057","FIRE DEPARTMENT","009","EMERGENCY MEDICAL SERVICES-PS","N","388,312,285","387,055,359","425,427,702","4,564","4,523","4,580","0","0","0"
"20260217","2027","057","FIRE DEPARTMENT","009","EMERGENCY MEDICAL SERVICES-PS","Y","-14,786,910","-14,786,910","-14,786,910","0","0","0","0","0","0"
"20260217","2027","057","FIRE DEPARTMENT","009","EMERGENCY MEDICAL SERVICES-PS","N","388,312,285","386,907,812","385,726,071","4,564","4,523","4,523","0","0","0"
"20260512","2027","057","FIRE DEPARTMENT","010","EMERGENCY MEDICAL SERV-OTPS","N","46,207,080","43,873,565","46,564,992","0","0","0","27","28","27"
"20260217","2027","057","FIRE DEPARTMENT","010","EMERGENCY MEDICAL SERV-OTPS","N","46,207,080","43,456,601","45,876,703","0","0","0","27","28","27"
"20260512","2027","058","OFFICE OF COMMUNITY SAFETY","001","Community Safety PS","N","0","0","1,568,000","0","0","9","0","0","0"
"20260512","2027","058","OFFICE OF COMMUNITY SAFETY","002","Community Safety OTPS","N","0","0","1,350,000","0","0","0","0","0","1"
"20260512","2027","063","DEPARTMENT OF VETERANS' SERVICES","001","PERSONAL SERVICES","N","4,936,322","4,891,322","4,938,043","49","50","50","0","0","0"
"20260217","2027","063","DEPARTMENT OF VETERANS' SERVICES","001","PERSONAL SERVICES","N","4,936,322","4,936,322","4,874,219","49","50","49","0","0","0"
"20260512","2027","063","DEPARTMENT OF VETERANS' SERVICES","002","OTHER THAN PERSONAL SERVICES","Y","0","29,391","44,750","0","0","0","0","0","0"
"20260512","2027","063","DEPARTMENT OF VETERANS' SERVICES","002","OTHER THAN PERSONAL SERVICES","N","2,697,864","2,742,864","1,629,799","0","0","0","4","4","4"
"20260217","2027","063","DEPARTMENT OF VETERANS' SERVICES","002","OTHER THAN PERSONAL SERVICES","Y","0","0","44,750","0","0","0","0","0","0"
"20260217","2027","063","DEPARTMENT OF VETERANS' SERVICES","002","OTHER THAN PERSONAL SERVICES","N","2,697,864","2,697,864","1,689,799","0","0","0","4","4","4"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","001","PERSONAL SERVICES","Y","94,046,083","94,046,083","94,187,584","0","0","-64","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","001","PERSONAL SERVICES","N","310,220,622","310,362,128","310,503,531","4,900","4,902","4,902","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","001","PERSONAL SERVICES","N","310,220,622","310,393,003","310,503,531","4,900","4,901","4,902","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","001","PERSONAL SERVICES","Y","94,046,083","94,046,083","94,187,584","0","0","0","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","002","OTHER THAN PERSONAL SERVICES","N","155,062,471","161,806,305","155,715,555","0","0","0","90","90","90"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","002","OTHER THAN PERSONAL SERVICES","Y","-5,904,559","-5,562,199","-105,121","0","0","0","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","002","OTHER THAN PERSONAL SERVICES","N","155,062,471","161,128,639","151,241,804","0","0","0","90","90","90"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","002","OTHER THAN PERSONAL SERVICES","Y","-5,904,559","-5,904,559","-5,833,591","0","0","0","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","003","HEADSTART and DAYCARE-PS","Y","1,897,211","1,897,211","1,921,235","-2","-2","-2","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","003","HEADSTART and DAYCARE-PS","N","15,461,221","15,761,221","16,561,221","238","248","248","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","003","HEADSTART and DAYCARE-PS","Y","1,897,211","1,897,211","1,921,235","-2","-2","-2","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","003","HEADSTART and DAYCARE-PS","N","15,461,221","15,461,221","16,561,221","238","238","248","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","004","HEADSTART/DAYCARE-OTPS","Y","-5,110,683","-5,110,683","-5,110,683","0","0","0","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","004","HEADSTART/DAYCARE-OTPS","N","817,654,845","1,804,374,522","854,281,540","0","0","0","18","18","16"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","004","HEADSTART/DAYCARE-OTPS","N","817,654,845","1,254,984,482","789,982,993","0","0","0","18","18","16"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","004","HEADSTART/DAYCARE-OTPS","Y","-5,110,683","-5,110,683","-5,110,683","0","0","0","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","005","ADMINISTRATIVE-PS","N","78,291,396","78,553,985","78,862,754","1,104","1,115","1,115","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","005","ADMINISTRATIVE-PS","Y","11,713,777","11,713,777","22,880,323","-418","-418","-418","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","005","ADMINISTRATIVE-PS","N","78,291,396","78,291,396","78,835,962","1,104","1,104","1,115","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","005","ADMINISTRATIVE-PS","Y","11,713,777","11,713,777","12,161,515","-418","-418","-418","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","006","CHILD WELFARE-OTPS","Y","17,013,695","47,562,164","32,538,029","0","0","0","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","006","CHILD WELFARE-OTPS","N","1,078,180,065","1,263,585,338","1,296,852,638","0","0","0","419","419","418"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","006","CHILD WELFARE-OTPS","N","1,078,180,065","1,130,175,434","1,077,314,421","0","0","0","419","419","418"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","006","CHILD WELFARE-OTPS","Y","17,013,695","17,013,695","295,638,029","0","0","0","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","007","JUVENILE JUSTICE - PS","N","40,882,951","41,606,981","42,830,696","770","803","810","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","007","JUVENILE JUSTICE - PS","Y","38,948,162","38,948,162","54,407,743","408","408","408","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","007","JUVENILE JUSTICE - PS","Y","38,948,162","38,948,162","39,089,291","408","408","408","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","007","JUVENILE JUSTICE - PS","N","40,882,951","40,882,951","42,828,395","770","770","810","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","008","JUVENILE JUSTICE - OTPS","N","163,620,272","188,999,069","199,964,897","0","0","0","47","47","47"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","008","JUVENILE JUSTICE - OTPS","Y","3,913,021","-2,606,979","3,913,021","0","0","0","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","008","JUVENILE JUSTICE - OTPS","N","163,620,272","185,686,995","196,820,871","0","0","0","47","47","47"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","008","JUVENILE JUSTICE - OTPS","Y","3,913,021","-2,606,979","3,913,021","0","0","0","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","009","ADOPTION SUBSIDY - PS","Y","480,661","480,661","1,383,439","0","0","0","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","009","ADOPTION SUBSIDY - PS","N","1,930,953","1,930,953","1,930,953","26","26","26","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","009","ADOPTION SUBSIDY - PS","Y","480,661","480,661","490,699","0","0","0","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","009","ADOPTION SUBSIDY - PS","N","1,930,953","1,930,953","1,930,953","26","26","26","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","010","ADOPTION SUBSIDY - OTPS","N","224,848,516","236,090,941","258,555,381","0","0","0","3","3","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","010","ADOPTION SUBSIDY - OTPS","N","224,848,516","224,848,516","224,848,516","0","0","0","3","3","3"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","011","JUVENILE JUSTICE - OCFS PAYMENTS","N","13,302,011","13,302,011","13,284,232","0","0","0","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","011","JUVENILE JUSTICE - OCFS PAYMENTS","N","13,302,011","13,302,011","13,284,232","0","0","0","0","0","0"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","012","COMMITTEE ON SPECIAL EDUCATION","N","85,297,328","83,459,469","79,200,827","0","0","0","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","012","COMMITTEE ON SPECIAL EDUCATION","N","85,297,328","83,459,469","84,355,333","0","0","0","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","101","ADMINISTRATION-OTPS","Y","11,810,682","-34,827,371","2,111,500","0","0","0","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","101","ADMINISTRATION-OTPS","N","293,831,915","354,030,538","332,742,314","0","0","0","689","690","689"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","101","ADMINISTRATION-OTPS","N","293,831,915","354,457,502","266,314,036","0","0","0","689","690","689"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","101","ADMINISTRATION-OTPS","Y","11,810,682","-34,827,371","4,810,682","0","0","0","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","103","PUBLIC ASSISTANCE - OTPS","N","2,964,181,569","5,288,927,270","5,337,595,175","0","0","0","205","337,307","203"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","103","PUBLIC ASSISTANCE - OTPS","Y","-40,569,470","-47,172,460","-19,238,217","0","0","0","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","103","PUBLIC ASSISTANCE - OTPS","N","2,964,181,569","3,749,486,425","5,620,465,527","0","0","0","205","207","203"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","103","PUBLIC ASSISTANCE - OTPS","Y","-40,569,470","-64,522,299","-39,238,217","0","0","0","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","104","MEDICAL ASSISTANCE - OTPS","N","6,622,321,288","6,476,335,419","6,828,529,753","0","0","0","140","144","140"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","104","MEDICAL ASSISTANCE - OTPS","N","6,622,321,288","6,296,335,419","6,828,335,419","0","0","0","140","144","140"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","105","ADULT SERVICES - OTPS","Y","7,538,289","4,226,908","7,120,789","0","0","0","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","105","ADULT SERVICES - OTPS","N","317,601,018","318,184,825","256,938,631","0","0","0","115","117","115"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","105","ADULT SERVICES - OTPS","N","317,601,018","318,168,430","256,938,631","0","0","0","115","117","115"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","105","ADULT SERVICES - OTPS","Y","7,538,289","7,538,289","7,120,789","0","0","0","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","107","LEGAL SERVICES - OTPS","Y","43,567,750","-161,000","0","0","0","0","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","107","LEGAL SERVICES - OTPS","N","318,854,347","370,065,176","315,864,877","0","0","0","148","148","77"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","107","LEGAL SERVICES - OTPS","N","318,854,347","363,998,026","286,332,884","0","0","0","148","148","77"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","107","LEGAL SERVICES - OTPS","Y","43,567,750","5,000","0","0","0","0","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","108","HOME ENERGY ASSISTANCE - OTPS","N","38,049,299","61,670,777","38,049,299","0","0","0","0","4","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","108","HOME ENERGY ASSISTANCE - OTPS","N","38,049,299","57,820,110","38,049,299","0","0","0","0","3","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","109","CHILD SUPPORT SERVICES - OTPS","N","21,798,087","27,965,392","21,810,246","0","0","0","20","21","20"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","109","CHILD SUPPORT SERVICES - OTPS","N","21,798,087","23,298,087","21,810,246","0","0","0","20","21","20"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","110","EMERGENCY FOOD - OTPS","Y","150,000","150,000","0","0","0","0","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","110","EMERGENCY FOOD - OTPS","N","57,908,773","79,710,830","74,286,547","0","0","0","41","43","15"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","110","EMERGENCY FOOD - OTPS","N","57,908,773","78,958,507","73,990,773","0","0","0","41","42","15"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","110","EMERGENCY FOOD - OTPS","Y","150,000","150,000","0","0","0","0","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","111","FAIR FARES - OTPS","N","116,661,700","116,661,700","116,661,700","0","0","0","0","5","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","111","FAIR FARES - OTPS","N","116,661,700","116,661,700","91,661,700","0","0","0","0","5","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","112","DOMESTIC VIOLENCE SERVICES - OTPS","N","219,266,912","223,507,345","245,656,776","0","0","0","14","14","13"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","112","DOMESTIC VIOLENCE SERVICES - OTPS","Y","60,001","15,000","0","0","0","0","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","112","DOMESTIC VIOLENCE SERVICES - OTPS","N","219,266,912","219,424,185","175,978,885","0","0","0","14","14","13"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","112","DOMESTIC VIOLENCE SERVICES - OTPS","Y","60,001","60,001","0","0","0","0","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","113","OFFICE OF ECONOMIC OPPORTUNITY - OTPS","N","0","0","22,188,671","0","0","0","0","0","1"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","113","OFFICE OF ECONOMIC OPPORTUNITY - OTPS","N","0","0","12,558,271","0","0","0","0","0","1"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","201","ADMINISTRATION","Y","1,908,722","-928,513","-11,771,225","-3","-3","-3","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","201","ADMINISTRATION","N","360,208,938","357,311,968","387,098,798","4,253","4,262","4,042","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","201","ADMINISTRATION","Y","1,908,722","1,509,539","597,341","-3","-3","-3","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","201","ADMINISTRATION","N","360,208,938","357,129,997","355,547,978","4,253","4,248","4,222","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","203","PUBLIC ASSISTANCE","N","310,069,677","323,779,639","360,051,337","4,066","4,249","4,411","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","203","PUBLIC ASSISTANCE","Y","28,561,056","22,883,269","18,803,744","337","300","300","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","203","PUBLIC ASSISTANCE","Y","28,561,056","26,361,135","22,703,082","337","300","300","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","203","PUBLIC ASSISTANCE","N","310,069,677","312,409,781","324,102,755","4,066","4,066","4,261","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","204","MEDICAL ASSISTANCE","N","88,108,728","88,108,728","88,312,039","1,180","1,180","1,180","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","204","MEDICAL ASSISTANCE","Y","13,499,578","10,335,010","343,894","0","0","0","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","204","MEDICAL ASSISTANCE","N","88,108,728","88,108,728","88,308,039","1,180","1,180","1,180","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","204","MEDICAL ASSISTANCE","Y","13,499,578","13,499,578","13,499,578","0","0","0","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","205","ADULT SERVICES","N","107,988,827","108,066,462","105,745,750","1,555","1,590","1,590","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","205","ADULT SERVICES","Y","10,777,081","10,634,292","7,836,969","0","0","0","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","205","ADULT SERVICES","N","107,988,827","108,247,827","106,291,097","1,555","1,592","1,592","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","205","ADULT SERVICES","Y","10,777,081","10,777,081","10,777,081","0","0","0","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","207","LEGAL SERVICES - PS","N","3,575,387","3,575,387","3,599,890","56","56","56","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","207","LEGAL SERVICES - PS","N","3,575,387","3,575,387","3,596,890","56","56","56","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","208","HOME ENERGY ASSISTANCE - PS","N","1,309,099","1,309,099","1,309,099","21","21","21","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","208","HOME ENERGY ASSISTANCE - PS","N","1,309,099","1,309,099","1,309,099","21","21","21","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","209","CHILD SUPPORT SERVICES - PS","Y","33,767","33,767","33,767","0","0","0","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","209","CHILD SUPPORT SERVICES - PS","N","32,290,447","30,790,447","31,993,534","489","489","474","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","209","CHILD SUPPORT SERVICES - PS","Y","33,767","33,767","33,767","0","0","0","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","209","CHILD SUPPORT SERVICES - PS","N","32,290,447","30,790,447","31,990,534","489","489","489","0","0","0"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","210","EMERGENCY FOOD - PS","N","2,454,788","2,201,846","2,249,346","28","26","25","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","210","EMERGENCY FOOD - PS","N","2,454,788","2,201,846","2,201,846","28","26","26","0","0","0"
