"Publication Date","Fiscal Year","Agency Number","Agency Name","Financial Plan Savings Flag","sum_adopted_budget_amount","sum_current_modified_budget_amount","sum_financial_plan_amount","sum_adopted_budget_position","sum_current_modified_budget_position","sum_financial_plan_position","sum_adopted_budget_number_of_contracts","sum_current_modified_budget_number_of_contracts","sum_financial_plan_number_of_contracts"
"20260217","2027","383","BRONX COMMUNITY BOARD #3","N","340,425","340,425","340,425","2","2","2","1","1","1"
"20260512","2027","384","BRONX COMMUNITY BOARD #4","N","313,241","313,668","313,241","3","3","3","0","0","0"
"20260217","2027","384","BRONX COMMUNITY BOARD #4","N","313,241","313,668","313,241","3","3","3","0","0","0"
"20260512","2027","385","BRONX COMMUNITY BOARD #5","N","282,857","283,540","282,857","3","3","3","1","1","1"
"20260217","2027","385","BRONX COMMUNITY BOARD #5","N","282,857","283,540","282,857","3","3","3","1","1","1"
"20260512","2027","386","BRONX COMMUNITY BOARD #6","N","297,220","297,220","287,220","2","2","2","1","2","2"
"20260217","2027","386","BRONX COMMUNITY BOARD #6","N","297,220","297,220","287,220","2","2","2","1","2","2"
"20260512","2027","387","BRONX COMMUNITY BOARD #7","N","398,834","398,834","379,710","2","2","2","6","3","6"
"20260217","2027","387","BRONX COMMUNITY BOARD #7","N","398,834","398,834","378,834","2","2","2","6","4","6"
"20260512","2027","388","BRONX COMMUNITY BOARD #8","N","365,715","365,715","365,828","3","3","3","3","3","3"
"20260217","2027","388","BRONX COMMUNITY BOARD #8","N","365,715","365,715","365,715","3","3","3","3","3","3"
"20260512","2027","389","BRONX COMMUNITY BOARD #9","N","453,870","453,870","394,090","2","2","2","1","1","1"
"20260217","2027","389","BRONX COMMUNITY BOARD #9","N","453,870","453,870","388,870","2","2","2","1","1","1"
"20260512","2027","390","BRONX COMMUNITY BOARD #10","N","383,130","383,130","384,147","2","2","2","6","5","6"
"20260217","2027","390","BRONX COMMUNITY BOARD #10","N","383,130","383,130","383,130","2","2","2","6","5","6"
"20260512","2027","391","BRONX COMMUNITY BOARD #11","N","372,726","372,726","369,542","1","1","1","4","4","4"
"20260217","2027","391","BRONX COMMUNITY BOARD #11","N","372,726","372,726","367,726","1","1","1","4","4","4"
"20260512","2027","392","BRONX COMMUNITY BOARD #12","N","296,002","296,002","296,002","2","2","2","5","2","5"
"20260217","2027","392","BRONX COMMUNITY BOARD #12","N","296,002","296,002","296,002","2","2","2","5","2","5"
"20260512","2027","431","QUEENS COMMUNITY BOARD #1","N","341,878","418,538","340,878","2","2","2","4","2","4"
"20260217","2027","431","QUEENS COMMUNITY BOARD #1","N","341,878","410,480","340,878","2","2","2","4","2","4"
"20260512","2027","432","QUEENS COMMUNITY BOARD #2","N","416,566","416,566","415,566","3","3","3","4","4","4"
"20260217","2027","432","QUEENS COMMUNITY BOARD #2","N","416,566","416,566","415,566","3","3","3","4","4","4"
"20260512","2027","433","QUEENS COMMUNITY BOARD #3","N","401,524","403,253","401,288","5","5","5","4","5","4"
"20260217","2027","433","QUEENS COMMUNITY BOARD #3","N","401,524","403,253","396,524","5","5","5","4","5","4"
"20260512","2027","434","QUEENS COMMUNITY BOARD #4","N","361,481","359,481","350,742","4","4","4","2","4","2"
"20260217","2027","434","QUEENS COMMUNITY BOARD #4","N","361,481","359,481","349,481","4","4","4","2","3","2"
"20260512","2027","435","QUEENS COMMUNITY BOARD #5","N","353,468","351,468","346,905","2","2","2","4","5","4"
"20260217","2027","435","QUEENS COMMUNITY BOARD #5","N","353,468","351,468","346,468","2","2","2","4","5","4"
"20260512","2027","436","QUEENS COMMUNITY BOARD #6","N","385,645","383,645","383,906","2","2","2","2","4","2"
"20260217","2027","436","QUEENS COMMUNITY BOARD #6","N","385,645","383,645","378,645","2","2","2","2","4","2"
