"Publication Date","Fiscal Year","Agency Number","Agency Name","Financial Plan Savings Flag","sum_adopted_budget_amount","sum_current_modified_budget_amount","sum_financial_plan_amount","sum_adopted_budget_position","sum_current_modified_budget_position","sum_financial_plan_position","sum_adopted_budget_number_of_contracts","sum_current_modified_budget_number_of_contracts","sum_financial_plan_number_of_contracts"
"20260217","2027","030","DEPARTMENT OF CITY PLANNING","Y","63,132","63,132","-363,418","-10","-10","-13","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","Y","-1,047,505","-2,563,723","-3,709,876","10","0","-11","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","N","56,921,973","69,227,471","57,431,014","283","313","293","33","20","33"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","Y","-1,047,505","-2,563,723","-2,565,876","10","0","0","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","N","56,921,973","66,077,354","56,672,080","283","309","293","33","20","33"
"20260512","2027","035","NEW YORK RESEARCH LIBRARIES","N","37,866,916","37,866,916","38,390,279","0","0","0","0","0","0"
"20260217","2027","035","NEW YORK RESEARCH LIBRARIES","N","37,866,916","37,866,916","35,645,699","0","0","0","0","0","0"
"20260512","2027","037","NEW YORK PUBLIC LIBRARY","N","190,598,450","193,297,237","191,998,230","0","0","0","0","0","0"
"20260217","2027","037","NEW YORK PUBLIC LIBRARY","N","190,598,450","192,520,715","178,956,363","0","0","0","0","0","0"
"20260512","2027","038","BROOKLYN PUBLIC LIBRARY","N","144,774,313","147,402,091","145,868,372","0","0","0","0","0","0"
"20260217","2027","038","BROOKLYN PUBLIC LIBRARY","N","144,774,313","146,546,694","136,090,170","0","0","0","0","0","0"
"20260512","2027","039","QUEENS BOROUGH PUBLIC LIBRARY","N","149,900,210","150,990,079","150,372,276","0","0","0","0","0","0"
"20260217","2027","039","QUEENS BOROUGH PUBLIC LIBRARY","N","149,900,210","150,336,753","140,743,132","0","0","0","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","N","35,181,857,041","37,257,338,248","38,101,301,570","140,218","141,009","142,109","6,363","6,364","6,321"
"20260512","2027","040","DEPARTMENT OF EDUCATION","Y","-185,265,434","-101,163,954","-177,264,039","-148","-498","-695","0","0","-20"
"20260217","2027","040","DEPARTMENT OF EDUCATION","N","35,181,857,041","35,474,526,374","38,108,938,547","140,218","140,597","141,028","6,363","6,359","6,321"
"20260217","2027","040","DEPARTMENT OF EDUCATION","Y","-185,265,434","-246,163,954","-79,073,671","-148","-498","-498","0","0","-20"
"20260512","2027","042","CITY UNIVERSITY OF NEW YORK","Y","-2,000,000","-52,000,000","-23,524,000","-237","-237","-237","0","0","0"
"20260512","2027","042","CITY UNIVERSITY OF NEW YORK","N","1,556,336,905","1,694,386,654","1,594,970,651","6,261","6,265","6,261","77","75","77"
"20260217","2027","042","CITY UNIVERSITY OF NEW YORK","Y","-2,000,000","-52,000,000","-2,000,000","-237","-237","-237","0","0","0"
"20260217","2027","042","CITY UNIVERSITY OF NEW YORK","N","1,556,336,905","1,670,231,056","1,552,314,329","6,261","6,265","6,261","77","76","77"
"20260512","2027","054","CIVILIAN COMPLAINT REVIEW BOARD","N","29,167,829","29,414,058","32,545,901","267","267","275","23","25","24"
"20260217","2027","054","CIVILIAN COMPLAINT REVIEW BOARD","N","29,167,829","29,414,058","29,188,717","267","267","267","23","25","24"
"20260512","2027","056","POLICE DEPARTMENT","Y","-272,716,432","-144,481,945","-91,391,850","-2,248","2","226","0","0","0"
"20260512","2027","056","POLICE DEPARTMENT","N","6,549,252,297","7,094,884,128","6,677,735,900","51,098","49,119","48,530","463","453","463"
"20260217","2027","056","POLICE DEPARTMENT","N","6,549,252,297","6,558,156,162","6,699,172,323","51,098","49,062","48,872","463","454","463"
"20260217","2027","056","POLICE DEPARTMENT","Y","-272,716,432","-112,449,452","-1,896,617","-2,248","2","2","0","0","0"
"20260512","2027","057","FIRE DEPARTMENT","Y","-27,762,564","105,020,641","-293,193","288","-25","76","2","2","1"
"20260512","2027","057","FIRE DEPARTMENT","N","2,648,978,521","2,723,977,411","2,669,857,921","17,322","17,600","17,648","225","231","225"
"20260217","2027","057","FIRE DEPARTMENT","Y","-27,762,564","-26,453,369","24,352,597","288","317","317","2","2","1"
"20260217","2027","057","FIRE DEPARTMENT","N","2,648,978,521","2,666,013,101","2,621,436,718","17,322","17,260","17,249","225","232","225"
"20260512","2027","058","OFFICE OF COMMUNITY SAFETY","N","0","0","2,918,000","0","0","9","0","0","1"
"20260512","2027","063","DEPARTMENT OF VETERANS' SERVICES","Y","0","29,391","44,750","0","0","0","0","0","0"
"20260512","2027","063","DEPARTMENT OF VETERANS' SERVICES","N","7,634,186","7,634,186","6,567,842","49","50","50","4","4","4"
"20260217","2027","063","DEPARTMENT OF VETERANS' SERVICES","Y","0","0","44,750","0","0","0","0","0","0"
"20260217","2027","063","DEPARTMENT OF VETERANS' SERVICES","N","7,634,186","7,634,186","6,564,018","49","50","49","4","4","4"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","N","2,984,752,651","4,199,832,923","3,308,544,225","7,038","7,094","7,101","577","577","571"
"20260512","2027","068","ADMIN FOR CHILDREN'S SERVICES","Y","156,997,368","181,368,197","206,015,570","-12","-12","-76","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","Y","156,997,368","150,477,368","436,457,100","-12","-12","-12","0","0","0"
"20260217","2027","068","ADMIN FOR CHILDREN'S SERVICES","N","2,984,752,651","3,500,545,070","2,988,508,232","7,038","7,039","7,101","577","577","574"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","N","11,896,970,991","14,252,821,872","14,593,845,579","11,995","12,220","12,146","1,372","338,493","1,273"
"20260512","2027","069","DEPARTMENT OF SOCIAL SERVICES","Y","77,337,448","-34,811,106","5,241,213","334","297","297","0","0","0"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","N","11,896,970,991","12,502,871,695","14,608,024,005","11,995","12,025","12,205","1,372","1,391","1,273"
"20260217","2027","069","DEPARTMENT OF SOCIAL SERVICES","Y","77,337,448","-39,415,288","20,304,095","334","297","297","0","0","0"
"20260512","2027","071","DEPARTMENT OF HOMELESS SERVICES","Y","-15,244,980","-31,711,856","-60,040,274","-179","-179","-33","0","0","0"
"20260512","2027","071","DEPARTMENT OF HOMELESS SERVICES","N","3,569,671,664","4,532,642,991","4,276,512,998","2,112","2,383","1,965","582","575","577"
"20260217","2027","071","DEPARTMENT OF HOMELESS SERVICES","Y","-15,244,980","-70,395,004","135,864,468","-179","-179","-33","0","0","0"
"20260217","2027","071","DEPARTMENT OF HOMELESS SERVICES","N","3,569,671,664","3,950,123,812","4,493,315,218","2,112","2,171","2,148","582","574","577"
"20260512","2027","072","DEPARTMENT OF CORRECTION","N","1,212,695,375","1,215,657,456","1,291,428,304","8,806","8,811","8,421","65","60","65"
"20260512","2027","072","DEPARTMENT OF CORRECTION","Y","-130,000","185,203,302","-32,429,252","-1","0","-200","0","0","0"
"20260217","2027","072","DEPARTMENT OF CORRECTION","N","1,212,695,375","1,214,066,508","1,264,517,664","8,806","8,811","8,806","65","60","65"
"20260217","2027","072","DEPARTMENT OF CORRECTION","Y","-130,000","0","-832,408","-1","0","0","0","0","0"
"20260512","2027","073","BOARD OF CORRECTION","N","4,086,397","4,200,906","3,595,469","33","33","31","2","2","2"
